sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_aesthetic
session32,iaa_pub2216_.jpg,3.145833333,3.2625,session32_iaa_pub2216_.jpg,test,2.6673686504364014
session323,iaa_pub22554_.jpg,2.88,3.212,session323_iaa_pub22554_.jpg,test,3.3329970836639404
session273,iaa_pub19070_.jpg,2.6,2.772,session273_iaa_pub19070_.jpg,test,2.758188486099243
session345,iaa_pub24116_.jpg,3.354166667,3.4375,session345_iaa_pub24116_.jpg,test,3.1866371631622314
session442,iaa_pub30925_.jpg,2.78,3.1,session442_iaa_pub30925_.jpg,test,2.8295860290527344
session410,iaa_pub28669_.jpg,4.045454545,4.227272727,session410_iaa_pub28669_.jpg,test,3.675283670425415
session34,iaa_pub2342_.jpg,3.1875,3.404166667,session34_iaa_pub2342_.jpg,test,3.196380853652954
session372,iaa_pub25997_.jpg,3.3,3.468,session372_iaa_pub25997_.jpg,test,3.045585870742798
session435,iaa_pub30436_.jpg,2.375,2.516666667,session435_iaa_pub30436_.jpg,test,2.2799932956695557
session324,iaa_pub22634_.jpg,3.44,3.648,session324_iaa_pub22634_.jpg,test,3.591844081878662
session414,iaa_pub28931_.jpg,4.043478261,4.113043478,session414_iaa_pub28931_.jpg,test,3.5463144779205322
session234,iaa_pub16313_.jpg,2.666666667,2.870833333,session234_iaa_pub16313_.jpg,test,2.647528886795044
session24,iaa_pub1633_.jpg,3.104166667,3.404166667,session24_iaa_pub1633_.jpg,test,3.0192134380340576
session80,iaa_pub5546_.jpg,3.14,3.332,session80_iaa_pub5546_.jpg,test,3.2892537117004395
session335,iaa_pub23390_.jpg,1.38,1.54,session335_iaa_pub23390_.jpg,test,1.3727164268493652
session52,iaa_pub3573_.jpg,3.326923077,3.480769231,session52_iaa_pub3573_.jpg,test,3.228698968887329
session401,iaa_pub28009_.jpg,3.375,3.604166667,session401_iaa_pub28009_.jpg,test,3.1729745864868164
session173,iaa_pub12100_.jpg,3.282608696,3.469565217,session173_iaa_pub12100_.jpg,test,3.4080047607421875
session407,iaa_pub28436_.jpg,3.239130435,3.434782609,session407_iaa_pub28436_.jpg,test,3.2392776012420654
session73,iaa_pub5064_.jpg,3.4375,3.570833333,session73_iaa_pub5064_.jpg,test,3.5559051036834717
session191,iaa_pub13339_.jpg,3.673913043,3.769565217,session191_iaa_pub13339_.jpg,test,3.7622828483581543
session426,iaa_pub29810_.jpg,3.18,3.504,session426_iaa_pub29810_.jpg,test,3.347355365753174
session180,iaa_pub12573_.jpg,3.076923077,3.288461538,session180_iaa_pub12573_.jpg,test,2.9581446647644043
session231,iaa_pub16142_.jpg,3.407407407,3.607407407,session231_iaa_pub16142_.jpg,test,3.2380778789520264
session371,iaa_pub25965_.jpg,3.16,3.468,session371_iaa_pub25965_.jpg,test,3.2540738582611084
session439,iaa_pub30676_.jpg,3.520833333,3.675,session439_iaa_pub30676_.jpg,test,3.2673630714416504
session5,iaa_pub348_.jpg,3.4,3.612,session5_iaa_pub348_.jpg,test,3.0903685092926025
session211,iaa_pub14704_.jpg,3.458333333,3.65,session211_iaa_pub14704_.jpg,test,3.1955666542053223
session267,iaa_pub18671_.jpg,3.645833333,3.8125,session267_iaa_pub18671_.jpg,test,3.345642328262329
session15,iaa_pub1011_.jpg,2.88,2.892,session15_iaa_pub1011_.jpg,test,2.8217077255249023
session380,iaa_pub26584_.jpg,2.173913043,2.339130435,session380_iaa_pub26584_.jpg,test,2.1898698806762695
session140,iaa_pub9755_.jpg,3.083333333,3.3125,session140_iaa_pub9755_.jpg,test,2.6390368938446045
session282,iaa_pub19740_.jpg,3.854166667,3.9875,session282_iaa_pub19740_.jpg,test,3.4759976863861084
session69,iaa_pub4807_.jpg,3.74,3.952,session69_iaa_pub4807_.jpg,test,3.784092664718628
session171,iaa_pub11941_.jpg,3.08,3.52,session171_iaa_pub11941_.jpg,test,2.9666380882263184
session300,iaa_pub20990_.jpg,3.48,3.7,session300_iaa_pub20990_.jpg,test,3.2141640186309814
session346,iaa_pub24211_.jpg,2.76,2.792,session346_iaa_pub24211_.jpg,test,2.610132932662964
session366,iaa_pub25567_.jpg,2.7,2.992,session366_iaa_pub25567_.jpg,test,3.072553873062134
session227,iaa_pub15834_.jpg,3.229166667,3.45,session227_iaa_pub15834_.jpg,test,2.6776468753814697
session241,iaa_pub16810_.jpg,1.782608696,1.852173913,session241_iaa_pub16810_.jpg,test,1.3103870153427124
session191,iaa_pub13313_.jpg,2.913043478,3.069565217,session191_iaa_pub13313_.jpg,test,2.9601171016693115
session411,iaa_pub28708_.jpg,3.956521739,4.039130435,session411_iaa_pub28708_.jpg,test,3.7185490131378174
session177,iaa_pub12390_.jpg,3.354166667,3.404166667,session177_iaa_pub12390_.jpg,test,2.67494797706604
session46,iaa_pub3180_.jpg,1.86,1.924,session46_iaa_pub3180_.jpg,test,1.857702374458313
session381,iaa_pub26617_.jpg,3.782608696,3.995652174,session381_iaa_pub26617_.jpg,test,3.664578914642334
session260,iaa_pub18192_.jpg,2.979166667,3.2625,session260_iaa_pub18192_.jpg,test,2.7767393589019775
session189,iaa_pub13228_.jpg,3.395833333,3.495833333,session189_iaa_pub13228_.jpg,test,3.269547700881958
session362,iaa_pub25272_.jpg,1.48,1.62,session362_iaa_pub25272_.jpg,test,1.2607651948928833
session241,iaa_pub16837_.jpg,3.391304348,3.556521739,session241_iaa_pub16837_.jpg,test,3.2740657329559326
session125,iaa_pub8690_.jpg,3.52,3.72,session125_iaa_pub8690_.jpg,test,3.33577036857605
session200,iaa_pub13980_.jpg,3.304347826,3.508695652,session200_iaa_pub13980_.jpg,test,3.1418263912200928
session246,iaa_pub17173_.jpg,2.58,2.632,session246_iaa_pub17173_.jpg,test,2.448509454727173
session323,iaa_pub22551_.jpg,3.6,3.656,session323_iaa_pub22551_.jpg,test,3.388963460922241
session370,iaa_pub25882_.jpg,3.264705882,3.6,session370_iaa_pub25882_.jpg,test,3.2423927783966064
session100,iaa_pub6953_.jpg,3.925,3.895,session100_iaa_pub6953_.jpg,test,3.5287039279937744
session181,iaa_pub12613_.jpg,2.583333333,2.7625,session181_iaa_pub12613_.jpg,test,2.6325294971466064
session275,iaa_pub19250_.jpg,2.956521739,3.082608696,session275_iaa_pub19250_.jpg,test,2.6236789226531982
session105,iaa_pub7319_.jpg,2.814814815,2.977777778,session105_iaa_pub7319_.jpg,test,2.6850693225860596
session26,iaa_pub1782_.jpg,1.64,1.748,session26_iaa_pub1782_.jpg,test,1.5334547758102417
session224,iaa_pub15616_.jpg,3.282608696,3.443478261,session224_iaa_pub15616_.jpg,test,3.043712854385376
session15,iaa_pub1025_.jpg,3.48,3.648,session15_iaa_pub1025_.jpg,test,3.6285669803619385
session327,iaa_pub22880_.jpg,3.354166667,3.395833333,session327_iaa_pub22880_.jpg,test,3.454082489013672
session276,iaa_pub19268_.jpg,3.770833333,3.7375,session276_iaa_pub19268_.jpg,test,3.56012225151062
session272,iaa_pub19017_.jpg,3.125,3.420833333,session272_iaa_pub19017_.jpg,test,2.9903271198272705
session111,iaa_pub7728_.jpg,3.365384615,3.469230769,session111_iaa_pub7728_.jpg,test,2.960871934890747
session137,iaa_pub9553_.jpg,2.708333333,2.958333333,session137_iaa_pub9553_.jpg,test,2.7506515979766846
session119,iaa_pub8269_.jpg,3.518518519,3.622222222,session119_iaa_pub8269_.jpg,test,3.3419034481048584
session122,iaa_pub8529_.jpg,2.576923077,2.803846154,session122_iaa_pub8529_.jpg,test,2.217848777770996
session100,iaa_pub6970_.jpg,2.825,2.885,session100_iaa_pub6970_.jpg,test,3.1147124767303467
session66,iaa_pub4566_.jpg,2.875,3.010714286,session66_iaa_pub4566_.jpg,test,2.9050533771514893
session79,iaa_pub5484_.jpg,3.166666667,3.320833333,session79_iaa_pub5484_.jpg,test,3.177274703979492
session251,iaa_pub17533_.jpg,1.208333333,1.266666667,session251_iaa_pub17533_.jpg,test,1.5572980642318726
session313,iaa_pub21908_.jpg,2.541666667,2.620833333,session313_iaa_pub21908_.jpg,test,2.5379409790039062
session413,iaa_pub28901_.jpg,3.916666667,4.095833333,session413_iaa_pub28901_.jpg,test,3.6371538639068604
