sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_quality
session32,iaa_pub2216_.jpg,3.145833333,3.2625,session32_iaa_pub2216_.jpg,test,2.9707658290863037
session323,iaa_pub22554_.jpg,2.88,3.212,session323_iaa_pub22554_.jpg,test,3.6110846996307373
session273,iaa_pub19070_.jpg,2.6,2.772,session273_iaa_pub19070_.jpg,test,2.9803502559661865
session345,iaa_pub24116_.jpg,3.354166667,3.4375,session345_iaa_pub24116_.jpg,test,3.5044138431549072
session442,iaa_pub30925_.jpg,2.78,3.1,session442_iaa_pub30925_.jpg,test,3.214426040649414
session410,iaa_pub28669_.jpg,4.045454545,4.227272727,session410_iaa_pub28669_.jpg,test,4.006400108337402
session34,iaa_pub2342_.jpg,3.1875,3.404166667,session34_iaa_pub2342_.jpg,test,3.315181255340576
session372,iaa_pub25997_.jpg,3.3,3.468,session372_iaa_pub25997_.jpg,test,3.347447395324707
session435,iaa_pub30436_.jpg,2.375,2.516666667,session435_iaa_pub30436_.jpg,test,2.2989187240600586
session324,iaa_pub22634_.jpg,3.44,3.648,session324_iaa_pub22634_.jpg,test,3.6658763885498047
session414,iaa_pub28931_.jpg,4.043478261,4.113043478,session414_iaa_pub28931_.jpg,test,3.612915515899658
session234,iaa_pub16313_.jpg,2.666666667,2.870833333,session234_iaa_pub16313_.jpg,test,2.9557669162750244
session24,iaa_pub1633_.jpg,3.104166667,3.404166667,session24_iaa_pub1633_.jpg,test,3.269580125808716
session80,iaa_pub5546_.jpg,3.14,3.332,session80_iaa_pub5546_.jpg,test,3.389106512069702
session335,iaa_pub23390_.jpg,1.38,1.54,session335_iaa_pub23390_.jpg,test,1.593932867050171
session52,iaa_pub3573_.jpg,3.326923077,3.480769231,session52_iaa_pub3573_.jpg,test,3.46639084815979
session401,iaa_pub28009_.jpg,3.375,3.604166667,session401_iaa_pub28009_.jpg,test,3.625568151473999
session173,iaa_pub12100_.jpg,3.282608696,3.469565217,session173_iaa_pub12100_.jpg,test,3.5391547679901123
session407,iaa_pub28436_.jpg,3.239130435,3.434782609,session407_iaa_pub28436_.jpg,test,3.399245500564575
session73,iaa_pub5064_.jpg,3.4375,3.570833333,session73_iaa_pub5064_.jpg,test,3.615772247314453
session191,iaa_pub13339_.jpg,3.673913043,3.769565217,session191_iaa_pub13339_.jpg,test,3.847149133682251
session426,iaa_pub29810_.jpg,3.18,3.504,session426_iaa_pub29810_.jpg,test,3.6276042461395264
session180,iaa_pub12573_.jpg,3.076923077,3.288461538,session180_iaa_pub12573_.jpg,test,3.107198476791382
session231,iaa_pub16142_.jpg,3.407407407,3.607407407,session231_iaa_pub16142_.jpg,test,3.496596097946167
session371,iaa_pub25965_.jpg,3.16,3.468,session371_iaa_pub25965_.jpg,test,3.2279508113861084
session439,iaa_pub30676_.jpg,3.520833333,3.675,session439_iaa_pub30676_.jpg,test,3.307947874069214
session5,iaa_pub348_.jpg,3.4,3.612,session5_iaa_pub348_.jpg,test,3.5133795738220215
session211,iaa_pub14704_.jpg,3.458333333,3.65,session211_iaa_pub14704_.jpg,test,3.459562301635742
session267,iaa_pub18671_.jpg,3.645833333,3.8125,session267_iaa_pub18671_.jpg,test,3.474299669265747
session15,iaa_pub1011_.jpg,2.88,2.892,session15_iaa_pub1011_.jpg,test,2.9837687015533447
session380,iaa_pub26584_.jpg,2.173913043,2.339130435,session380_iaa_pub26584_.jpg,test,2.500908136367798
