imageName,aestheticScore,qualityScore
iaa_pub8915_.jpg,3.333333333,3.6125
iaa_pub3709_.jpg,3.479166667,3.6125
iaa_pub11801_.jpg,3.34,3.552
iaa_pub30988_.jpg,2.62,3.192
iaa_pub8432_.jpg,2.982142857,3.225
iaa_pub12292_.jpg,2.52,2.74
iaa_pub27317_.jpg,2.583333333,2.729166667
iaa_pub2888_.jpg,3.21875,3.29375
iaa_pub15520_.jpg,3.4,3.58
iaa_pub18629_.jpg,1.833333333,1.941666667
iaa_pub24898_.jpg,3.666666667,3.729166667
iaa_pub22657_.jpg,2.88,3.084
iaa_pub30005_.jpg,3.02,3.204
iaa_pub23251_.jpg,3.44,3.672
iaa_pub25482_.jpg,2.94,3.336
iaa_pub4740_.jpg,3.0625,3.15
iaa_pub13785_.jpg,3.979166667,3.9
iaa_pub4610_.jpg,2.982142857,3.214285714
iaa_pub19728_.jpg,3.479166667,3.575
iaa_pub6955_.jpg,1.675,1.645
iaa_pub25359_.jpg,3.4375,3.583333333
iaa_pub149_.jpg,3.42,3.6
iaa_pub21412_.jpg,3.25,3.483333333
iaa_pub25091_.jpg,3.04,3.184
iaa_pub23826_.jpg,3.52,3.664
iaa_pub14824_.jpg,3.375,3.470833333
iaa_pub10745_.jpg,2.791666667,2.825
iaa_pub23460_.jpg,3.12,3.332
iaa_pub30527_.jpg,2.333333333,2.329166667
iaa_pub3203_.jpg,2.7,2.828
iaa_pub30337_.jpg,2.913043478,3.252173913
iaa_pub21571_.jpg,3.0,3.192
iaa_pub1162_.jpg,1.596774194,1.677419355
iaa_pub483_.jpg,3.02,3.404
iaa_pub16377_.jpg,3.625,3.8375
iaa_pub20011_.jpg,2.895833333,3.3
iaa_pub23634_.jpg,2.935483871,3.229032258
iaa_pub4607_.jpg,2.142857143,2.271428571
iaa_pub3000_.jpg,2.833333333,3.154166667
iaa_pub24013_.jpg,2.6875,2.995833333
iaa_pub25505_.jpg,3.44,3.624
iaa_pub1481_.jpg,3.28,3.444
iaa_pub17840_.jpg,3.730769231,3.826923077
iaa_pub17470_.jpg,3.64,3.856
iaa_pub10919_.jpg,4.16,4.2
