sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_aesthetic
session46,iaa_pub3212_.jpg,3.5961538461538463,3.673076923076923,session46_iaa_pub3212_.jpg,test,3.1464309692382812
session428,iaa_pub29948_.jpg,2.9,3.008,session428_iaa_pub29948_.jpg,test,3.110600233078003
session108,iaa_pub7516_.jpg,2.36,2.496,session108_iaa_pub7516_.jpg,test,2.454774856567383
session23,iaa_pub1608_.jpg,3.94,4.04,session23_iaa_pub1608_.jpg,test,3.6714608669281006
session154,iaa_pub10739_.jpg,3.22,3.412,session154_iaa_pub10739_.jpg,test,3.0124058723449707
session159,iaa_pub11106_.jpg,3.54,3.508,session159_iaa_pub11106_.jpg,test,3.411367654800415
session365,iaa_pub25522_.jpg,3.38,3.6,session365_iaa_pub25522_.jpg,test,3.1978049278259277
session232,iaa_pub16201_.jpg,2.94,3.032,session232_iaa_pub16201_.jpg,test,2.7651679515838623
session317,iaa_pub22121_.jpg,3.68,3.932,session317_iaa_pub22121_.jpg,test,3.8076043128967285
session422,iaa_pub29521_.jpg,3.38,3.62,session422_iaa_pub29521_.jpg,test,3.2004952430725098
session325,iaa_pub22687_.jpg,3.34,3.46,session325_iaa_pub22687_.jpg,test,3.438802719116211
session246,iaa_pub17195_.jpg,3.46,3.528,session246_iaa_pub17195_.jpg,test,3.209043025970459
session275,iaa_pub19238_.jpg,3.1346153846153846,3.2961538461538464,session275_iaa_pub19238_.jpg,test,2.870370388031006
session103,iaa_pub7165_.jpg,2.26,2.48,session103_iaa_pub7165_.jpg,test,2.7418994903564453
session92,iaa_pub6410_.jpg,3.5,3.780769230769231,session92_iaa_pub6410_.jpg,test,3.40797758102417
session43,iaa_pub2976_.jpg,3.02,3.3,session43_iaa_pub2976_.jpg,test,3.166538715362549
session57,iaa_pub3953_.jpg,3.678571428571429,3.9071428571428575,session57_iaa_pub3953_.jpg,test,3.495859384536743
session281,iaa_pub19648_.jpg,3.64,3.776,session281_iaa_pub19648_.jpg,test,3.344132900238037
session364,iaa_pub25479_.jpg,2.8846153846153846,3.1153846153846154,session364_iaa_pub25479_.jpg,test,2.809703826904297
session111,iaa_pub7723_.jpg,2.9038461538461537,3.103846153846154,session111_iaa_pub7723_.jpg,test,2.836578130722046
session57,iaa_pub3946_.jpg,2.357142857142857,2.5285714285714285,session57_iaa_pub3946_.jpg,test,2.571098804473877
session108,iaa_pub7506_.jpg,2.88,3.192,session108_iaa_pub7506_.jpg,test,3.031604766845703
session39,iaa_pub2683_.jpg,3.574074074074074,3.659259259259259,session39_iaa_pub2683_.jpg,test,3.1532187461853027
session405,iaa_pub28315_.jpg,3.8,3.916,session405_iaa_pub28315_.jpg,test,3.392184257507324
session438,iaa_pub30604_.jpg,3.4615384615384617,3.5846153846153848,session438_iaa_pub30604_.jpg,test,3.4150846004486084
session377,iaa_pub26331_.jpg,3.333333333333333,3.4333333333333336,session377_iaa_pub26331_.jpg,test,3.1293740272521973
session351,iaa_pub24516_.jpg,2.9714285714285715,3.2542857142857144,session351_iaa_pub24516_.jpg,test,2.9317240715026855
session50,iaa_pub3483_.jpg,1.48,1.584,session50_iaa_pub3483_.jpg,test,1.7034189701080322
session49,iaa_pub3416_.jpg,2.98,3.052,session49_iaa_pub3416_.jpg,test,2.3813092708587646
session153,iaa_pub10654_.jpg,1.72,1.8,session153_iaa_pub10654_.jpg,test,1.5990333557128906
session183,iaa_pub12801_.jpg,3.02,3.212,session183_iaa_pub12801_.jpg,test,2.860910177230835
session354,iaa_pub24748_.jpg,3.34375,3.503125,session354_iaa_pub24748_.jpg,test,3.1601717472076416
session68,iaa_pub4708_.jpg,3.2,3.488,session68_iaa_pub4708_.jpg,test,2.962574005126953
session336,iaa_pub23453_.jpg,2.86,3.248,session336_iaa_pub23453_.jpg,test,2.8588972091674805
session303,iaa_pub21174_.jpg,3.22,3.48,session303_iaa_pub21174_.jpg,test,2.903545618057251
session78,iaa_pub5441_.jpg,3.06,3.388,session78_iaa_pub5441_.jpg,test,2.682621955871582
session402,iaa_pub28112_.jpg,3.5576923076923075,3.673076923076923,session402_iaa_pub28112_.jpg,test,3.0382986068725586
session69,iaa_pub4767_.jpg,1.74,1.924,session69_iaa_pub4767_.jpg,test,1.7242451906204224
session7,iaa_pub445_.jpg,3.38,3.748,session7_iaa_pub445_.jpg,test,3.627145290374756
session54,iaa_pub3751_.jpg,2.54,2.572,session54_iaa_pub3751_.jpg,test,2.551815986633301
session388,iaa_pub27128_.jpg,2.76,2.9360000000000004,session388_iaa_pub27128_.jpg,test,2.6802494525909424
session133,iaa_pub9308_.jpg,1.4285714285714286,1.5571428571428572,session133_iaa_pub9308_.jpg,test,1.1483604907989502
session295,iaa_pub20638_.jpg,3.72,3.904,session295_iaa_pub20638_.jpg,test,3.3053226470947266
session309,iaa_pub21600_.jpg,2.9,3.116,session309_iaa_pub21600_.jpg,test,2.7374160289764404
session94,iaa_pub6553_.jpg,2.875,3.2142857142857144,session94_iaa_pub6553_.jpg,test,3.042156219482422
session404,iaa_pub28268_.jpg,2.6153846153846154,2.730769230769231,session404_iaa_pub28268_.jpg,test,2.722151279449463
session22,iaa_pub1507_.jpg,3.1,3.3280000000000003,session22_iaa_pub1507_.jpg,test,2.628626823425293
session282,iaa_pub19713_.jpg,3.36,3.664,session282_iaa_pub19713_.jpg,test,3.277437925338745
session275,iaa_pub19198_.jpg,2.8461538461538463,3.0,session275_iaa_pub19198_.jpg,test,2.6889853477478027
session333,iaa_pub23292_.jpg,2.730769230769231,2.792307692307692,session333_iaa_pub23292_.jpg,test,2.2639269828796387
session245,iaa_pub17142_.jpg,3.074074074074074,3.4074074074074074,session245_iaa_pub17142_.jpg,test,3.1444849967956543
session383,iaa_pub26762_.jpg,3.074074074074074,3.4,session383_iaa_pub26762_.jpg,test,2.942467212677002
session238,iaa_pub16625_.jpg,2.82,3.108,session238_iaa_pub16625_.jpg,test,2.8833439350128174
session359,iaa_pub25098_.jpg,2.592592592592593,2.774074074074074,session359_iaa_pub25098_.jpg,test,2.498809576034546
session226,iaa_pub15779_.jpg,3.4375,3.7,session226_iaa_pub15779_.jpg,test,3.222254991531372
session51,iaa_pub3523_.jpg,2.6153846153846154,2.707692307692308,session51_iaa_pub3523_.jpg,test,2.3425145149230957
session408,iaa_pub28503_.jpg,3.2580645161290325,3.435483870967742,session408_iaa_pub28503_.jpg,test,2.9904046058654785
session89,iaa_pub6166_.jpg,2.9,3.156,session89_iaa_pub6166_.jpg,test,3.1717147827148438
session216,iaa_pub15086_.jpg,3.54,3.656,session216_iaa_pub15086_.jpg,test,3.1821300983428955
session389,iaa_pub27168_.jpg,2.12,2.216,session389_iaa_pub27168_.jpg,test,2.134333848953247
session257,iaa_pub17926_.jpg,3.14,3.2960000000000003,session257_iaa_pub17926_.jpg,test,3.079744815826416
session393,iaa_pub27470_.jpg,3.2,3.392,session393_iaa_pub27470_.jpg,test,3.040456533432007
session61,iaa_pub4249_.jpg,2.857142857142857,3.1107142857142853,session61_iaa_pub4249_.jpg,test,2.6113486289978027
session3,iaa_pub204_.jpg,3.24,3.344,session3_iaa_pub204_.jpg,test,3.0499885082244873
session348,iaa_pub24333_.jpg,3.44,3.612,session348_iaa_pub24333_.jpg,test,3.1491222381591797
session37,iaa_pub2572_.jpg,3.52,3.808,session37_iaa_pub2572_.jpg,test,3.3550033569335938
session133,iaa_pub9303_.jpg,3.25,3.314285714285714,session133_iaa_pub9303_.jpg,test,3.0683083534240723
session58,iaa_pub4019_.jpg,1.93939393939394,2.018181818181818,session58_iaa_pub4019_.jpg,test,1.8502765893936157
session338,iaa_pub23599_.jpg,3.242424242424242,3.418181818181818,session338_iaa_pub23599_.jpg,test,3.3739943504333496
session124,iaa_pub8612_.jpg,3.0892857142857144,3.3428571428571425,session124_iaa_pub8612_.jpg,test,3.0577449798583984
session384,iaa_pub26855_.jpg,1.4,1.508,session384_iaa_pub26855_.jpg,test,1.302597165107727
session382,iaa_pub26681_.jpg,2.8461538461538463,3.0846153846153848,session382_iaa_pub26681_.jpg,test,2.519348382949829
session132,iaa_pub9198_.jpg,1.8571428571428568,2.2214285714285715,session132_iaa_pub9198_.jpg,test,1.632737636566162
session285,iaa_pub19924_.jpg,2.94,2.932,session285_iaa_pub19924_.jpg,test,2.876756191253662
session306,iaa_pub21361_.jpg,2.94,3.22,session306_iaa_pub21361_.jpg,test,3.0782785415649414
session224,iaa_pub15651_.jpg,3.58,3.732,session224_iaa_pub15651_.jpg,test,3.5464138984680176
session53,iaa_pub3647_.jpg,3.54,3.66,session53_iaa_pub3647_.jpg,test,3.327063798904419
session338,iaa_pub23602_.jpg,3.015151515151515,3.178787878787879,session338_iaa_pub23602_.jpg,test,3.2447867393493652
session93,iaa_pub6450_.jpg,3.592592592592593,3.6666666666666665,session93_iaa_pub6450_.jpg,test,3.634340763092041
session438,iaa_pub30610_.jpg,3.269230769230769,3.423076923076923,session438_iaa_pub30610_.jpg,test,3.397507667541504
session384,iaa_pub26828_.jpg,2.74,3.168,session384_iaa_pub26828_.jpg,test,2.7850606441497803
session212,iaa_pub14802_.jpg,3.42,3.452,session212_iaa_pub14802_.jpg,test,2.6552436351776123
session144,iaa_pub10028_.jpg,2.185185185185185,2.207407407407408,session144_iaa_pub10028_.jpg,test,1.8242899179458618
session279,iaa_pub19525_.jpg,3.4166666666666665,3.695833333333333,session279_iaa_pub19525_.jpg,test,3.236520528793335
session316,iaa_pub22061_.jpg,2.98,3.24,session316_iaa_pub22061_.jpg,test,3.083695888519287
session150,iaa_pub10490_.jpg,2.9615384615384617,3.196153846153846,session150_iaa_pub10490_.jpg,test,2.949016571044922
session35,iaa_pub2417_.jpg,3.52,3.672,session35_iaa_pub2417_.jpg,test,3.3272271156311035
session48,iaa_pub3356_.jpg,3.42,3.552,session48_iaa_pub3356_.jpg,test,3.05656099319458
session168,iaa_pub11754_.jpg,3.36,3.548,session168_iaa_pub11754_.jpg,test,2.912700653076172
session6,iaa_pub406_.jpg,3.0,3.25625,session6_iaa_pub406_.jpg,test,2.8808577060699463
session11,iaa_pub720_.jpg,3.92,3.968,session11_iaa_pub720_.jpg,test,3.5525410175323486
session336,iaa_pub23456_.jpg,2.1,2.512,session336_iaa_pub23456_.jpg,test,2.506287097930908
session434,iaa_pub30341_.jpg,2.6956521739130435,3.065217391304348,session434_iaa_pub30341_.jpg,test,2.6596570014953613
session157,iaa_pub10942_.jpg,3.5,3.562962962962963,session157_iaa_pub10942_.jpg,test,3.273684024810791
session305,iaa_pub21311_.jpg,4.14,4.372,session305_iaa_pub21311_.jpg,test,3.4999771118164062
session269,iaa_pub18798_.jpg,2.96,3.092,session269_iaa_pub18798_.jpg,test,3.010223150253296
session262,iaa_pub18312_.jpg,2.6,2.904,session262_iaa_pub18312_.jpg,test,2.7746262550354004
session299,iaa_pub20917_.jpg,3.1346153846153846,3.45,session299_iaa_pub20917_.jpg,test,3.2853736877441406
session341,iaa_pub23806_.jpg,1.7115384615384617,1.7730769230769232,session341_iaa_pub23806_.jpg,test,1.110180139541626
session336,iaa_pub23474_.jpg,2.8,3.028,session336_iaa_pub23474_.jpg,test,2.5865931510925293
session410,iaa_pub28695_.jpg,2.64,2.716,session410_iaa_pub28695_.jpg,test,2.6007680892944336
session424,iaa_pub29629_.jpg,2.74,2.82,session424_iaa_pub29629_.jpg,test,2.878103017807007
