sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_aesthetic
session134,iaa_pub9328_.jpg,3.159090909,3.381818182,session134_iaa_pub9328_.jpg,test,3.261723518371582
session386,iaa_pub26973_.jpg,3.88,4.012,session386_iaa_pub26973_.jpg,test,3.549283266067505
session107,iaa_pub7476_.jpg,2.673076923,2.753846154,session107_iaa_pub7476_.jpg,test,2.497502326965332
session287,iaa_pub20055_.jpg,3.14,3.368,session287_iaa_pub20055_.jpg,test,3.1849324703216553
session125,iaa_pub8724_.jpg,2.795454545,2.895454545,session125_iaa_pub8724_.jpg,test,2.7360384464263916
session30,iaa_pub2052_.jpg,3.18,3.516,session30_iaa_pub2052_.jpg,test,3.1088292598724365
session139,iaa_pub9722_.jpg,4.25,4.172727273,session139_iaa_pub9722_.jpg,test,3.982142925262451
session216,iaa_pub15112_.jpg,3.217391304,3.373913043,session216_iaa_pub15112_.jpg,test,2.881538152694702
session233,iaa_pub16268_.jpg,3.222222222,3.348148148,session233_iaa_pub16268_.jpg,test,2.966599464416504
session399,iaa_pub27914_.jpg,3.25,3.482142857,session399_iaa_pub27914_.jpg,test,3.17405104637146
session365,iaa_pub25498_.jpg,3.904761905,4.038095238,session365_iaa_pub25498_.jpg,test,3.4085659980773926
session205,iaa_pub14344_.jpg,3.295454545,3.345454545,session205_iaa_pub14344_.jpg,test,3.1047401428222656
session115,iaa_pub7992_.jpg,2.354166667,2.55,session115_iaa_pub7992_.jpg,test,2.7823567390441895
session131,iaa_pub9106_.jpg,2.4,2.624,session131_iaa_pub9106_.jpg,test,2.4667699337005615
session130,iaa_pub9032_.jpg,3.130434783,3.334782609,session130_iaa_pub9032_.jpg,test,2.758476972579956
session120,iaa_pub8385_.jpg,1.326086957,1.465217391,session120_iaa_pub8385_.jpg,test,1.3667734861373901
session173,iaa_pub12092_.jpg,3.347826087,3.517391304,session173_iaa_pub12092_.jpg,test,3.349998950958252
