sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_quality
session134,iaa_pub9328_.jpg,3.159090909,3.381818182,session134_iaa_pub9328_.jpg,test,3.3392605781555176
session386,iaa_pub26973_.jpg,3.88,4.012,session386_iaa_pub26973_.jpg,test,3.640131711959839
session107,iaa_pub7476_.jpg,2.673076923,2.753846154,session107_iaa_pub7476_.jpg,test,2.4728469848632812
session287,iaa_pub20055_.jpg,3.14,3.368,session287_iaa_pub20055_.jpg,test,3.4080634117126465
session125,iaa_pub8724_.jpg,2.795454545,2.895454545,session125_iaa_pub8724_.jpg,test,2.932123899459839
session30,iaa_pub2052_.jpg,3.18,3.516,session30_iaa_pub2052_.jpg,test,3.3909053802490234
session139,iaa_pub9722_.jpg,4.25,4.172727273,session139_iaa_pub9722_.jpg,test,3.86869478225708
session216,iaa_pub15112_.jpg,3.217391304,3.373913043,session216_iaa_pub15112_.jpg,test,2.9908976554870605
session233,iaa_pub16268_.jpg,3.222222222,3.348148148,session233_iaa_pub16268_.jpg,test,3.229128837585449
session399,iaa_pub27914_.jpg,3.25,3.482142857,session399_iaa_pub27914_.jpg,test,3.282794952392578
session365,iaa_pub25498_.jpg,3.904761905,4.038095238,session365_iaa_pub25498_.jpg,test,3.520881175994873
session205,iaa_pub14344_.jpg,3.295454545,3.345454545,session205_iaa_pub14344_.jpg,test,3.3365440368652344
session115,iaa_pub7992_.jpg,2.354166667,2.55,session115_iaa_pub7992_.jpg,test,2.595447540283203
session131,iaa_pub9106_.jpg,2.4,2.624,session131_iaa_pub9106_.jpg,test,2.526047468185425
session130,iaa_pub9032_.jpg,3.130434783,3.334782609,session130_iaa_pub9032_.jpg,test,2.952455997467041
session120,iaa_pub8385_.jpg,1.326086957,1.465217391,session120_iaa_pub8385_.jpg,test,1.3761348724365234
session173,iaa_pub12092_.jpg,3.347826087,3.517391304,session173_iaa_pub12092_.jpg,test,3.4544811248779297
session236,iaa_pub16471_.jpg,3.173076923,3.346153846,session236_iaa_pub16471_.jpg,test,3.400630474090576
session363,iaa_pub25373_.jpg,3.333333333,3.547619048,session363_iaa_pub25373_.jpg,test,3.52101469039917
session218,iaa_pub15207_.jpg,3.45,3.525,session218_iaa_pub15207_.jpg,test,3.1669068336486816
session172,iaa_pub12014_.jpg,3.108695652,3.069565217,session172_iaa_pub12014_.jpg,test,3.513395309448242
session174,iaa_pub12165_.jpg,3.543478261,3.565217391,session174_iaa_pub12165_.jpg,test,3.7063376903533936
session168,iaa_pub11747_.jpg,2.434782609,2.639130435,session168_iaa_pub11747_.jpg,test,2.586242437362671
session26,iaa_pub1775_.jpg,3.541666667,3.654166667,session26_iaa_pub1775_.jpg,test,3.396231174468994
session365,iaa_pub25499_.jpg,3.380952381,3.652380952,session365_iaa_pub25499_.jpg,test,3.2457900047302246
session41,iaa_pub2868_.jpg,3.52173913,3.713043478,session41_iaa_pub2868_.jpg,test,3.397350788116455
session299,iaa_pub20894_.jpg,3.043478261,3.334782609,session299_iaa_pub20894_.jpg,test,3.346674680709839
session417,iaa_pub29141_.jpg,3.869565217,3.991304348,session417_iaa_pub29141_.jpg,test,3.6767971515655518
session406,iaa_pub28407_.jpg,3.555555556,3.662962963,session406_iaa_pub28407_.jpg,test,3.48468279838562
session327,iaa_pub22881_.jpg,3.347826087,3.47826087,session327_iaa_pub22881_.jpg,test,3.365691661834717
session275,iaa_pub19223_.jpg,3.477272727,3.572727273,session275_iaa_pub19223_.jpg,test,3.54764723777771
session256,iaa_pub17908_.jpg,3.380952381,3.461904762,session256_iaa_pub17908_.jpg,test,3.590134859085083
session375,iaa_pub26205_.jpg,3.413043478,3.530434783,session375_iaa_pub26205_.jpg,test,3.405747413635254
session320,iaa_pub22389_.jpg,3.347826087,3.560869565,session320_iaa_pub22389_.jpg,test,3.6982154846191406
session19,iaa_pub1269_.jpg,3.612903226,3.803225806,session19_iaa_pub1269_.jpg,test,3.8240835666656494
session445,iaa_pub31106_.jpg,3.869565217,4.013043478,session445_iaa_pub31106_.jpg,test,3.602731466293335
session324,iaa_pub22679_.jpg,3.673913043,3.882608696,session324_iaa_pub22679_.jpg,test,3.6563572883605957
session289,iaa_pub20197_.jpg,3.857142857,4.033333333,session289_iaa_pub20197_.jpg,test,3.6821212768554688
session379,iaa_pub26492_.jpg,3.363636364,3.531818182,session379_iaa_pub26492_.jpg,test,3.304577589035034
session27,iaa_pub1827_.jpg,2.5,2.839130435,session27_iaa_pub1827_.jpg,test,2.8804128170013428
session122,iaa_pub8516_.jpg,2.86,3.1,session122_iaa_pub8516_.jpg,test,2.8581910133361816
session360,iaa_pub25185_.jpg,3.189655172,3.379310345,session360_iaa_pub25185_.jpg,test,3.819538116455078
session321,iaa_pub22409_.jpg,3.340909091,3.513636364,session321_iaa_pub22409_.jpg,test,3.4892797470092773
