Index,dataset,ID,1,2,3,4,5,6,7,8,9,10,sem1,sem2,challegeID,sum_score,total_scorer,MOS,scaled_MOS_aesthetic,set
19640,ava,282007.jpg,0,4,3,19,45,113,100,80,49,34,14,43,430,3117,447,6.973154362416107,4.041765309431062,training
188121,ava,328576.jpg,1,1,4,20,58,60,45,27,8,11,6,20,487,1458,235,6.2042553191489365,3.5888730867257137,validation
28446,ava,738109.jpg,0,1,8,32,55,65,32,15,3,6,18,38,947,1250,217,5.76036866359447,3.327417677431554,training
135495,ava,155485.jpg,1,4,12,34,82,44,21,8,7,2,20,21,317,1149,215,5.344186046511628,3.0822803318301446,training
74277,ava,356240.jpg,2,3,11,44,83,31,12,2,0,2,15,38,516,938,190,4.936842105263158,2.8423490891358107,test
45910,ava,129380.jpg,1,1,17,55,43,26,10,2,0,0,11,18,290,731,155,4.716129032258064,2.7123460216477016,training
247836,ava,542071.jpg,0,1,2,23,62,62,29,7,1,0,20,25,699,1050,187,5.614973262032086,3.2417777651942794,training
229971,ava,34496.jpg,0,2,9,22,37,25,8,8,1,1,20,23,127,593,113,5.247787610619469,3.0255003133364182,training
120042,ava,814925.jpg,0,5,2,3,35,52,49,34,23,24,5,19,1081,1577,227,6.947136563876652,4.026440464493858,training
169040,ava,843742.jpg,0,5,6,27,54,37,3,0,1,0,18,0,1147,658,133,4.947368421052632,2.848549235431398,test
96084,ava,894627.jpg,0,0,2,5,13,37,34,25,15,5,14,0,1221,936,136,6.882352941176471,3.988282010355433,training
130854,ava,648520.jpg,4,9,19,50,79,46,15,0,2,0,14,27,818,1073,224,4.790178571428571,2.7559622293656045,training
74362,ava,806371.jpg,5,2,14,27,44,27,13,1,4,1,12,38,1063,686,138,4.971014492753623,2.862477100298296,training
145848,ava,916063.jpg,0,0,8,6,43,46,46,20,7,9,15,38,1288,1174,185,6.345945945945946,3.672330835136924,training
45104,ava,198603.jpg,3,13,39,61,92,50,28,11,5,1,1,38,355,1489,303,4.914191419141914,2.8290075202093337,training
9958,ava,758263.jpg,1,1,3,11,38,61,59,48,20,7,14,21,982,1659,249,6.662650602409639,3.8588742793809256,test
250960,ava,409454.jpg,85,41,48,54,26,7,2,1,0,0,15,38,568,721,264,2.731060606060606,1.5431131299761345,test
255227,ava,871415.jpg,1,5,5,22,54,63,35,20,7,2,38,0,1199,1250,214,5.841121495327103,3.3749822176314503,validation
228563,ava,60487.jpg,0,2,4,17,49,49,25,9,0,2,18,35,187,890,157,5.6687898089171975,3.273476459256324,training
114447,ava,674209.jpg,0,3,3,16,36,80,57,40,25,14,40,0,853,1823,274,6.653284671532846,3.853357615926032,validation
253572,ava,6189.jpg,0,5,11,38,56,73,65,31,12,1,2,10,34,1734,292,5.938356164383562,3.432254789080986,training
21775,ava,847313.jpg,2,6,14,20,62,87,47,9,2,1,13,17,1154,1397,250,5.588,3.2258901389808075,test
240587,ava,404207.jpg,0,0,2,19,39,49,31,18,6,6,18,40,562,1046,170,6.152941176470589,3.5586483435200686,training
44565,ava,888808.jpg,5,6,17,53,55,35,9,4,3,0,20,23,1223,887,187,4.74331550802139,2.728359233712136,training
67412,ava,337835.jpg,17,13,28,59,49,29,13,3,3,2,1,38,499,944,216,4.37037037037037,2.50868936441405,test
58826,ava,604114.jpg,0,2,8,53,75,33,16,6,2,1,14,0,759,1001,196,5.107142857142857,2.942658598846553,training
194738,ava,608731.jpg,0,1,6,23,75,71,21,8,5,1,17,50,765,1179,211,5.587677725118484,3.225700314596592,validation
70098,ava,681577.jpg,32,21,22,38,64,61,39,16,11,5,19,29,866,1528,309,4.944983818770226,2.847144671545666,training
221224,ava,701283.jpg,0,0,5,11,32,37,37,19,2,6,18,40,892,930,149,6.241610738255034,3.610875947747836,validation
13456,ava,123272.jpg,0,2,12,30,77,85,50,14,11,1,18,29,280,1626,282,5.76595744680851,3.330709548417984,training
25140,ava,873800.jpg,0,3,4,28,73,31,11,0,0,0,14,21,1201,758,150,5.053333333333334,2.9109640414736377,training
126829,ava,14863.jpg,1,1,5,6,27,30,11,8,3,3,18,31,76,555,95,5.842105263157895,3.375561670556272,training
81255,ava,554334.jpg,0,0,0,5,15,37,31,31,11,11,17,21,707,991,141,7.028368794326241,4.074287377200763,training
35148,ava,439819.jpg,3,8,23,76,41,27,14,3,4,1,1,40,602,927,200,4.635,2.664559894109861,validation
62750,ava,298762.jpg,0,8,26,74,105,44,13,7,2,4,19,21,453,1384,283,4.890459363957597,2.815029009875752,training
146198,ava,791842.jpg,0,0,7,13,38,37,12,5,4,1,1,2,1036,655,117,5.598290598290598,3.2319514443935358,test
109694,ava,465021.jpg,0,2,11,38,64,52,25,20,9,4,15,19,629,1277,225,5.675555555555556,3.2774615780572107,training
109228,ava,367509.jpg,0,5,14,40,76,43,12,1,0,0,2,20,527,942,191,4.9319371727748695,2.839460015731061,training
109440,ava,368407.jpg,0,1,13,27,74,49,21,5,0,2,6,20,527,1020,192,5.3125,3.063616810059563,training
127024,ava,500976.jpg,0,2,6,45,77,30,10,2,0,0,40,49,670,853,172,4.959302325581396,2.8555784710572087,training
157112,ava,495594.jpg,0,2,21,50,83,54,26,9,7,2,20,0,662,1343,254,5.28740157480315,3.0488334887986785,validation
198636,ava,334759.jpg,0,1,2,12,38,83,83,41,21,25,17,38,496,2092,306,6.836601307189542,3.961333662077229,training
40106,ava,242067.jpg,0,5,11,32,95,44,9,6,1,2,8,40,388,1050,205,5.121951219512195,2.95138093008991,training
69665,ava,777984.jpg,1,7,4,18,55,54,38,11,6,6,15,19,1013,1166,200,5.83,3.368431502316347,training
4793,ava,310271.jpg,0,2,2,18,56,55,32,14,6,3,1,18,471,1112,188,5.914893617021277,3.4184350226002227,test
197132,ava,21431.jpg,4,10,20,37,53,37,16,3,1,0,2,10,97,864,181,4.773480662983426,2.746126929222534,training
103635,ava,433236.jpg,0,3,8,33,59,28,5,1,0,1,17,40,581,678,138,4.913043478260869,2.828331367076224,training
89765,ava,763388.jpg,0,1,4,8,22,46,47,14,2,2,2,10,993,911,146,6.239726027397261,3.609765826858744,training
111018,ava,344145.jpg,0,2,7,37,74,79,44,22,5,2,2,10,505,1566,272,5.757352941176471,3.325641375014599,training
58513,ava,435878.jpg,0,1,2,11,58,79,21,13,3,3,19,0,597,1124,191,5.884816753926701,3.400719332226846,training
89608,ava,768753.jpg,1,0,1,11,49,47,27,13,2,0,12,17,993,886,151,5.867549668874172,3.390548779151564,training
198916,ava,24831.jpg,2,6,19,22,69,67,50,25,11,4,17,21,107,1595,275,5.8,3.3507610853739243,training
179131,ava,630625.jpg,3,12,23,66,78,57,19,6,1,0,17,22,799,1282,265,4.837735849056604,2.7839741268434,test
225915,ava,203824.jpg,3,4,8,28,60,61,54,33,12,5,7,14,360,1613,268,6.018656716417911,3.479552930252773,test
84089,ava,631004.jpg,1,1,5,9,36,55,18,6,3,2,17,26,797,785,136,5.772058823529412,3.334303344104021,test
52547,ava,946037.jpg,0,1,1,6,21,49,52,27,6,9,20,0,1374,1152,172,6.697674418604652,3.8795037938836137,training
34711,ava,291996.jpg,5,5,21,47,83,61,24,11,0,1,18,29,446,1313,258,5.089147286821706,2.9320589578235063,training
71672,ava,859227.jpg,4,3,4,12,45,65,34,14,4,4,38,0,1177,1111,189,5.878306878306878,3.396884925011993,training
88929,ava,748335.jpg,0,0,8,16,42,53,31,18,1,1,19,57,960,996,170,5.858823529411764,3.3854089617316148,training
121358,ava,246813.jpg,6,15,32,62,50,10,3,1,0,1,2,33,394,729,180,4.05,2.3199867637326275,validation
21104,ava,755686.jpg,0,0,2,15,57,86,51,16,5,5,2,53,980,1447,237,6.105485232067511,3.530696132720109,training
246020,ava,243968.jpg,6,8,37,59,70,20,5,4,1,4,15,38,393,955,214,4.462616822429907,2.563023806725756,training
31425,ava,947884.jpg,3,0,6,13,45,39,15,7,6,2,1,38,1379,767,136,5.639705882352941,3.256345622299217,validation
89640,ava,769136.jpg,0,0,3,5,43,61,29,9,6,2,19,0,993,959,158,6.069620253164557,3.5095711616918965,training
