,dataset,image_name,c1,c2,c3,c4,c5,c_total,scaled_MOS_quality,SD,MOS_zscore,set
0,koniq,10004473376.jpg,0,0,25,73,7,105,3.82857142857143,0.527277894493955,77.3836206896552,training
1,koniq,10007357496.jpg,0,3,45,47,1,96,3.47916666666667,0.5800030247955,68.7285714285714,test
2,koniq,10007903636.jpg,1,0,20,73,2,96,3.78125,0.527219618674978,78.6285714285714,training
3,koniq,10009096245.jpg,0,0,21,75,13,109,3.92660550458716,0.556217750098803,77.24375,training
4,koniq,100117038.jpg,0,1,21,72,6,100,3.83,0.532859638121892,75.1125,training
5,koniq,10012398043.jpg,0,7,55,40,1,103,3.33980582524272,0.619192992472071,65.1495327102804,training
6,koniq,10013822223.jpg,0,0,48,60,2,110,3.58181818181818,0.531258125581778,68.30625,training
7,koniq,10014002683.jpg,0,6,46,51,3,106,3.4811320754717,0.650730462458067,64.7627118644068,training
8,koniq,10017119924.jpg,0,3,58,50,0,111,3.42342342342342,0.548544347250886,66.224358974359,training
9,koniq,10020766793.jpg,0,0,11,78,20,109,4.08256880733945,0.529297934146812,81.50625,test
10,koniq,10020891105.jpg,0,4,80,18,0,102,3.13725490196078,0.445865843301836,56.8297413793103,test
11,koniq,10022757465.jpg,0,3,32,66,4,105,3.67619047619048,0.596387169276516,71.0154867256637,test
12,koniq,10022844623.jpg,1,5,60,36,0,102,3.2843137254902,0.603249467802339,60.925,training
13,koniq,10027545463.jpg,0,0,31,66,5,102,3.74509803921569,0.53927480659291,72.8279816513761,training
14,koniq,10027582235.jpg,0,0,24,78,5,107,3.82242990654206,0.491687201381957,77.1377118644068,training
15,koniq,10029841663.jpg,0,4,65,64,1,134,3.46268656716418,0.570670577951945,70.125,training
16,koniq,10031298826.jpg,1,22,90,9,0,122,2.87704918032787,0.52346381078129,50.5681818181818,training
17,koniq,10031913154.jpg,0,4,63,65,2,134,3.48507462686567,0.584705756305363,70.5,training
18,koniq,10039534103.jpg,0,0,34,72,1,107,3.69158878504673,0.483915144465277,76.075,test
19,koniq,10041870415.jpg,0,2,53,49,0,104,3.45192307692308,0.537520515613129,66.4210526315789,training
20,koniq,10043785683.jpg,0,0,46,60,0,106,3.56603773584906,0.497974333332233,71.2043269230769,validation
21,koniq,10047832035.jpg,0,0,38,60,3,101,3.65346534653465,0.537320082713394,71.8,training
22,koniq,10048365153.jpg,1,12,66,22,0,101,3.07920792079208,0.611280104646498,58.0929203539823,training
23,koniq,10050349236.jpg,6,69,27,0,0,102,2.20588235294118,0.532846555181383,30.9418103448276,test
24,koniq,10058760545.jpg,45,48,7,0,0,100,1.62,0.615949624071595,15.2293577981651,training
25,koniq,10059344614.jpg,0,3,46,49,2,100,3.5,0.594588390010563,68.6651376146789,validation
26,koniq,10061596254.jpg,0,8,74,25,0,107,3.1588785046729,0.534640290117207,59.6418918918919,validation
27,koniq,10067457634.jpg,0,0,15,87,7,109,3.92660550458716,0.445271910649957,78.4390756302521,validation
28,koniq,10068507976.jpg,0,11,77,22,0,110,3.1,0.540981099908967,57.6548672566372,training
29,koniq,10068778516.jpg,0,1,38,71,4,114,3.68421052631579,0.55360107476116,71.8782608695652,training
30,koniq,10069534975.jpg,0,1,34,72,1,108,3.67592592592593,0.508409719674872,73.7222222222222,training
31,koniq,10071864114.jpg,0,1,31,76,4,112,3.74107142857143,0.532638100593026,71.9090909090909,training
32,koniq,10075168775.jpg,0,1,30,66,4,101,3.72277227722772,0.549887477238537,74.7785714285714,training
33,koniq,10077468576.jpg,0,0,38,66,2,106,3.66037735849057,0.514305679955861,73.8152173913043,training
34,koniq,10077880165.jpg,9,70,28,1,0,108,2.19444444444444,0.587380265521398,31.2256637168142,training
35,koniq,10079711433.jpg,0,11,93,28,0,132,3.12878787878788,0.530091494771472,59.0625,training
36,koniq,10082923485.jpg,0,16,77,11,0,104,2.95192307692308,0.509707848784743,53.2260869565217,validation
37,koniq,10086300493.jpg,0,2,49,49,3,103,3.51456310679612,0.591841222578484,68.3026315789474,test
38,koniq,100882570.jpg,0,6,49,41,3,99,3.41414141414141,0.654811096145075,65.4747899159664,training
39,koniq,10089027076.jpg,29,66,11,2,0,108,1.87037037037037,0.656991053760519,23.0785714285714,training
40,koniq,10089177336.jpg,0,1,31,63,6,101,3.73267326732673,0.581224381954351,72.945945945946,validation
41,koniq,10091520555.jpg,4,66,36,0,0,106,2.30188679245283,0.537539567903605,33.6443965517241,training
42,koniq,10093057603.jpg,0,4,55,43,0,102,3.38235294117647,0.563653528279349,63.4955752212389,test
43,koniq,10094235786.jpg,0,2,69,29,0,100,3.27,0.489382212074519,62.1559633027523,training
44,koniq,10110458216.jpg,0,4,56,39,1,100,3.37,0.580055727033745,64.7293577981651,training
45,koniq,10111411235.jpg,41,65,7,0,0,113,1.69911504424779,0.580716241135099,18.4705882352941,training
46,koniq,10113730664.jpg,0,1,66,62,0,129,3.47286821705426,0.51656194237485,68.8125,test
47,koniq,10115071674.jpg,0,2,34,64,9,109,3.73394495412844,0.633073072765233,72.775,training
48,koniq,10118773964.jpg,0,12,74,14,1,101,3.03960396039604,0.546274511197583,53.0733944954128,training
49,koniq,10121813934.jpg,0,11,48,44,2,105,3.35238095238095,0.693111051998834,65.3980582524272,training
50,koniq,10125013364.jpg,13,80,38,0,0,131,2.19083969465649,0.596328559627659,31.2711538461538,training
51,koniq,10126177964.jpg,0,1,48,54,6,109,3.59633027522936,0.610392497512353,70.9078947368421,test
52,koniq,10126857344.jpg,0,6,44,63,1,114,3.51754385964912,0.613021764621792,68.7331932773109,training
53,koniq,10130566006.jpg,0,1,38,60,7,106,3.68867924528302,0.607307995088549,71.95,training
54,koniq,10131980434.jpg,1,8,90,36,0,135,3.19259259259259,0.566427615170997,61.0279850746269,training
55,koniq,10133867305.jpg,0,6,73,26,0,105,3.19047619047619,0.520636409658671,58.1607142857143,training
56,koniq,10134737015.jpg,1,19,65,22,0,107,3.00934579439252,0.651490701403454,54.5903361344538,training
57,koniq,10140071304.jpg,0,7,63,31,2,103,3.27184466019417,0.613478905741538,62.5576923076923,validation
58,koniq,10147970884.jpg,0,0,25,82,4,111,3.81081081081081,0.476988917605459,76.8561946902655,training
59,koniq,10153847086.jpg,0,9,74,25,1,109,3.1651376146789,0.569498828859231,59.23125,training
60,koniq,10154367094.jpg,0,2,46,68,1,117,3.58119658119658,0.545187665242931,74.1120689655172,test
61,koniq,10154991453.jpg,0,4,48,72,2,126,3.57142857142857,0.58554004376912,74.1854838709677,test
62,koniq,10155925686.jpg,0,21,65,16,1,103,2.97087378640777,0.633327822673833,52.8798076923077,training
63,koniq,101601008.jpg,0,10,50,38,2,100,3.32,0.679869268479038,61.0875,training
64,koniq,10164654253.jpg,0,16,71,13,0,100,2.97,0.540388935878782,52.9220183486239,training
65,koniq,10164842933.jpg,0,1,24,81,7,113,3.83185840707965,0.532893966725502,76.69375,validation
66,koniq,10169304416.jpg,0,1,13,79,12,105,3.97142857142857,0.527277894493955,80.8716814159292,test
67,koniq,10173544123.jpg,0,5,77,48,1,131,3.34351145038168,0.565290835512158,65.1055555555556,test
