,sessionId,imageName,scaled_MOS_aesthetic,qualityScore,sessionId_imageName,set
7842,session276,iaa_pub19305_.jpg,2.84,3.004,session276_iaa_pub19305_.jpg,training
24551,session129,iaa_pub8978_.jpg,2.88,3.056,session129_iaa_pub8978_.jpg,training
12768,session219,iaa_pub15314_.jpg,3.8846153846153846,4.0115384615384615,session219_iaa_pub15314_.jpg,training
10518,session160,iaa_pub11183_.jpg,3.173076923076923,3.45,session160_iaa_pub11183_.jpg,training
6004,session445,iaa_pub31103_.jpg,3.36,3.556,session445_iaa_pub31103_.jpg,training
26606,session374,iaa_pub26180_.jpg,2.4791666666666665,2.6666666666666665,session374_iaa_pub26180_.jpg,training
583,session331,iaa_pub23133_.jpg,4.04,4.124,session331_iaa_pub23133_.jpg,training
10248,session163,iaa_pub11404_.jpg,2.196428571428572,2.3607142857142853,session163_iaa_pub11404_.jpg,training
7309,session371,iaa_pub25936_.jpg,3.4814814814814814,3.581481481481481,session371_iaa_pub25936_.jpg,training
22065,session170,iaa_pub11869_.jpg,3.7884615384615374,3.873076923076923,session170_iaa_pub11869_.jpg,training
28604,session189,iaa_pub13196_.jpg,2.78,2.8480000000000003,session189_iaa_pub13196_.jpg,training
15078,session331,iaa_pub23158_.jpg,3.54,3.636,session331_iaa_pub23158_.jpg,training
29569,session360,iaa_pub25190_.jpg,3.075757575757576,3.3151515151515154,session360_iaa_pub25190_.jpg,training
6010,session5,iaa_pub345_.jpg,3.076923076923077,3.45,session5_iaa_pub345_.jpg,training
1988,session34,iaa_pub2341_.jpg,3.54,3.704,session34_iaa_pub2341_.jpg,training
5894,session438,iaa_pub30607_.jpg,2.6346153846153846,2.873076923076923,session438_iaa_pub30607_.jpg,training
11538,session407,iaa_pub28462_.jpg,3.9,3.988,session407_iaa_pub28462_.jpg,training
18775,session44,iaa_pub3050_.jpg,2.767857142857143,3.125,session44_iaa_pub3050_.jpg,training
31067,session393,iaa_pub27481_.jpg,3.52,3.648,session393_iaa_pub27481_.jpg,training
1567,session403,iaa_pub28197_.jpg,3.76,3.848,session403_iaa_pub28197_.jpg,training
27118,session346,iaa_pub24154_.jpg,3.16,3.3280000000000003,session346_iaa_pub24154_.jpg,training
10704,session207,iaa_pub14438_.jpg,2.9,3.248,session207_iaa_pub14438_.jpg,training
13523,session30,iaa_pub2063_.jpg,3.9,4.124,session30_iaa_pub2063_.jpg,validation
4603,session349,iaa_pub24426_.jpg,3.38,3.692,session349_iaa_pub24426_.jpg,training
2948,session258,iaa_pub18023_.jpg,4.038461538461538,4.107692307692307,session258_iaa_pub18023_.jpg,training
14540,session68,iaa_pub4698_.jpg,3.22,3.536,session68_iaa_pub4698_.jpg,training
20763,session220,iaa_pub15359_.jpg,2.7,2.756,session220_iaa_pub15359_.jpg,training
29973,session387,iaa_pub27023_.jpg,3.173076923076923,3.376923076923077,session387_iaa_pub27023_.jpg,training
16785,session62,iaa_pub4283_.jpg,3.66,3.884,session62_iaa_pub4283_.jpg,training
8521,session98,iaa_pub6847_.jpg,3.783333333333333,3.87,session98_iaa_pub6847_.jpg,training
28325,session400,iaa_pub27972_.jpg,3.54,3.596,session400_iaa_pub27972_.jpg,training
23898,session41,iaa_pub2827_.jpg,3.32,3.584,session41_iaa_pub2827_.jpg,training
17406,session268,iaa_pub18744_.jpg,2.2,2.472,session268_iaa_pub18744_.jpg,training
21785,session401,iaa_pub28026_.jpg,3.36,3.524,session401_iaa_pub28026_.jpg,training
20782,session430,iaa_pub30050_.jpg,3.2,3.284,session430_iaa_pub30050_.jpg,training
27907,session71,iaa_pub4925_.jpg,3.177419354838709,3.4322580645161294,session71_iaa_pub4925_.jpg,training
21849,session287,iaa_pub20056_.jpg,3.0576923076923075,3.323076923076924,session287_iaa_pub20056_.jpg,training
173,session426,iaa_pub29796_.jpg,3.06,3.204,session426_iaa_pub29796_.jpg,training
15131,session177,iaa_pub12322_.jpg,4.083333333333333,4.15,session177_iaa_pub12322_.jpg,training
14824,session288,iaa_pub20131_.jpg,3.5,3.564,session288_iaa_pub20131_.jpg,training
28514,session24,iaa_pub1616_.jpg,3.22,3.44,session24_iaa_pub1616_.jpg,training
8203,session83,iaa_pub5756_.jpg,3.1,3.224,session83_iaa_pub5756_.jpg,training
26491,session292,iaa_pub20384_.jpg,3.403225806451613,3.603225806451613,session292_iaa_pub20384_.jpg,test
27166,session272,iaa_pub19028_.jpg,2.44,2.604,session272_iaa_pub19028_.jpg,training
26881,session189,iaa_pub13205_.jpg,1.56,1.7280000000000002,session189_iaa_pub13205_.jpg,training
19596,session155,iaa_pub10837_.jpg,3.42,3.528,session155_iaa_pub10837_.jpg,training
24005,session383,iaa_pub26760_.jpg,3.3703703703703702,3.559259259259259,session383_iaa_pub26760_.jpg,training
18830,session236,iaa_pub16499_.jpg,3.4615384615384617,3.565384615384616,session236_iaa_pub16499_.jpg,training
17615,session346,iaa_pub24177_.jpg,3.48,3.588,session346_iaa_pub24177_.jpg,training
18890,session93,iaa_pub6477_.jpg,2.537037037037037,2.6370370370370373,session93_iaa_pub6477_.jpg,training
2003,session113,iaa_pub7853_.jpg,2.8846153846153846,3.0615384615384613,session113_iaa_pub7853_.jpg,test
27951,session99,iaa_pub6875_.jpg,2.9655172413793105,3.2,session99_iaa_pub6875_.jpg,training
23381,session86,iaa_pub5953_.jpg,2.9038461538461537,3.053846153846154,session86_iaa_pub5953_.jpg,validation
15302,session313,iaa_pub21845_.jpg,3.78,3.964,session313_iaa_pub21845_.jpg,training
15800,session358,iaa_pub25015_.jpg,3.519230769230769,3.696153846153846,session358_iaa_pub25015_.jpg,training
5241,session180,iaa_pub12531_.jpg,3.1538461538461537,3.338461538461538,session180_iaa_pub12531_.jpg,training
22003,session138,iaa_pub9651_.jpg,3.86,3.956,session138_iaa_pub9651_.jpg,training
12036,session23,iaa_pub1575_.jpg,3.06,3.128,session23_iaa_pub1575_.jpg,training
4182,session175,iaa_pub12221_.jpg,3.851851851851852,3.992592592592593,session175_iaa_pub12221_.jpg,training
11782,session381,iaa_pub26661_.jpg,3.62,3.888,session381_iaa_pub26661_.jpg,training
7209,session419,iaa_pub29264_.jpg,3.0,3.1884615384615387,session419_iaa_pub29264_.jpg,training
9389,session403,iaa_pub28190_.jpg,3.16,3.324,session403_iaa_pub28190_.jpg,training
4538,session398,iaa_pub27852_.jpg,3.661290322580645,3.825806451612903,session398_iaa_pub27852_.jpg,training
18059,session223,iaa_pub15589_.jpg,3.12,3.332,session223_iaa_pub15589_.jpg,training
18053,session444,iaa_pub31039_.jpg,3.38,3.52,session444_iaa_pub31039_.jpg,training
973,session227,iaa_pub15883_.jpg,2.16,2.336,session227_iaa_pub15883_.jpg,training
5799,session276,iaa_pub19279_.jpg,2.62,2.7880000000000003,session276_iaa_pub19279_.jpg,training
12533,session442,iaa_pub30923_.jpg,2.84,2.7960000000000003,session442_iaa_pub30923_.jpg,training
12138,session242,iaa_pub16922_.jpg,3.88,4.044,session242_iaa_pub16922_.jpg,training
5156,session88,iaa_pub6148_.jpg,1.64,1.764,session88_iaa_pub6148_.jpg,training
23872,session43,iaa_pub2988_.jpg,2.94,3.276,session43_iaa_pub2988_.jpg,training
29742,session393,iaa_pub27493_.jpg,3.36,3.452,session393_iaa_pub27493_.jpg,training
53,session183,iaa_pub12743_.jpg,2.86,2.932,session183_iaa_pub12743_.jpg,training
9700,session266,iaa_pub18614_.jpg,3.78,3.84,session266_iaa_pub18614_.jpg,training
13163,session3,iaa_pub195_.jpg,3.08,3.2880000000000003,session3_iaa_pub195_.jpg,training
10002,session276,iaa_pub19264_.jpg,3.24,3.292,session276_iaa_pub19264_.jpg,training
26163,session444,iaa_pub31060_.jpg,1.56,1.484,session444_iaa_pub31060_.jpg,test
26311,session382,iaa_pub26701_.jpg,3.2884615384615383,3.503846153846154,session382_iaa_pub26701_.jpg,validation
28402,session93,iaa_pub6446_.jpg,3.462962962962963,3.585185185185185,session93_iaa_pub6446_.jpg,training
14438,session415,iaa_pub29026_.jpg,3.14,3.352,session415_iaa_pub29026_.jpg,training
17038,session147,iaa_pub10231_.jpg,2.64,2.804,session147_iaa_pub10231_.jpg,training
26058,session441,iaa_pub30816_.jpg,3.56,3.86,session441_iaa_pub30816_.jpg,training
21064,session57,iaa_pub3955_.jpg,3.0892857142857144,3.3000000000000003,session57_iaa_pub3955_.jpg,training
2583,session97,iaa_pub6773_.jpg,3.18,3.484,session97_iaa_pub6773_.jpg,training
29537,session229,iaa_pub16027_.jpg,3.1875,3.3791666666666664,session229_iaa_pub16027_.jpg,training
820,session416,iaa_pub29074_.jpg,3.68,3.72,session416_iaa_pub29074_.jpg,training
16396,session244,iaa_pub17021_.jpg,3.3392857142857144,3.5500000000000003,session244_iaa_pub17021_.jpg,training
12619,session123,iaa_pub8563_.jpg,3.52,3.732,session123_iaa_pub8563_.jpg,training
15213,session289,iaa_pub20169_.jpg,3.36,3.5,session289_iaa_pub20169_.jpg,training
1695,session11,iaa_pub762_.jpg,3.06,3.172,session11_iaa_pub762_.jpg,training
7970,session115,iaa_pub8017_.jpg,3.02,3.292,session115_iaa_pub8017_.jpg,training
9001,session25,iaa_pub1735_.jpg,3.58,3.628,session25_iaa_pub1735_.jpg,training
9577,session159,iaa_pub11067_.jpg,3.48,3.6,session159_iaa_pub11067_.jpg,validation
20526,session333,iaa_pub23269_.jpg,3.0961538461538463,3.234615384615384,session333_iaa_pub23269_.jpg,training
29030,session75,iaa_pub5231_.jpg,3.3076923076923075,3.496153846153846,session75_iaa_pub5231_.jpg,training
18182,session155,iaa_pub10796_.jpg,1.76,1.8,session155_iaa_pub10796_.jpg,training
6568,session140,iaa_pub9765_.jpg,2.6923076923076925,2.9538461538461536,session140_iaa_pub9765_.jpg,test
16294,session193,iaa_pub13448_.jpg,2.92,3.128,session193_iaa_pub13448_.jpg,training
8922,session244,iaa_pub17046_.jpg,2.821428571428572,3.007142857142857,session244_iaa_pub17046_.jpg,training
13778,session426,iaa_pub29761_.jpg,1.58,1.584,session426_iaa_pub29761_.jpg,training
25868,session105,iaa_pub7296_.jpg,3.074074074074074,3.3222222222222224,session105_iaa_pub7296_.jpg,training
25149,session240,iaa_pub16795_.jpg,2.84,3.096,session240_iaa_pub16795_.jpg,training
4492,session8,iaa_pub501_.jpg,3.18,3.256,session8_iaa_pub501_.jpg,training
29415,session314,iaa_pub21966_.jpg,2.14,2.296,session314_iaa_pub21966_.jpg,training
15440,session174,iaa_pub12130_.jpg,2.980769230769231,3.215384615384615,session174_iaa_pub12130_.jpg,training
14191,session288,iaa_pub20115_.jpg,3.18,3.256,session288_iaa_pub20115_.jpg,validation
6766,session309,iaa_pub21565_.jpg,3.74,3.892,session309_iaa_pub21565_.jpg,training
25264,session258,iaa_pub18024_.jpg,3.519230769230769,3.7384615384615385,session258_iaa_pub18024_.jpg,training
28883,session401,iaa_pub28050_.jpg,2.66,2.924,session401_iaa_pub28050_.jpg,training
671,session381,iaa_pub26621_.jpg,3.84,4.004,session381_iaa_pub26621_.jpg,training
4147,session66,iaa_pub4557_.jpg,3.566666666666667,3.7066666666666666,session66_iaa_pub4557_.jpg,training
12428,session142,iaa_pub9908_.jpg,3.9,4.072,session142_iaa_pub9908_.jpg,training
7091,session284,iaa_pub19849_.jpg,3.083333333333333,3.3125,session284_iaa_pub19849_.jpg,test
30278,session116,iaa_pub8103_.jpg,3.8461538461538463,3.9269230769230767,session116_iaa_pub8103_.jpg,training
8216,session356,iaa_pub24866_.jpg,3.1666666666666665,3.35,session356_iaa_pub24866_.jpg,training
29935,session257,iaa_pub17927_.jpg,3.46,3.64,session257_iaa_pub17927_.jpg,training
10534,session315,iaa_pub21995_.jpg,2.68,2.804,session315_iaa_pub21995_.jpg,training
16791,session330,iaa_pub23081_.jpg,4.019230769230769,4.042307692307692,session330_iaa_pub23081_.jpg,training
10607,session164,iaa_pub11468_.jpg,3.52,3.792,session164_iaa_pub11468_.jpg,training
24358,session8,iaa_pub505_.jpg,2.76,3.04,session8_iaa_pub505_.jpg,training
8116,session118,iaa_pub8255_.jpg,3.44,3.636,session118_iaa_pub8255_.jpg,training
13919,session143,iaa_pub10009_.jpg,3.72,3.832,session143_iaa_pub10009_.jpg,test
25969,session390,iaa_pub27288_.jpg,3.88,3.976,session390_iaa_pub27288_.jpg,training
27342,session106,iaa_pub7420_.jpg,3.2,3.448,session106_iaa_pub7420_.jpg,training
10036,session254,iaa_pub17764_.jpg,3.413793103448276,3.610344827586207,session254_iaa_pub17764_.jpg,training
24585,session205,iaa_pub14298_.jpg,3.44,3.552,session205_iaa_pub14298_.jpg,training
14362,session358,iaa_pub25007_.jpg,3.423076923076923,3.5846153846153848,session358_iaa_pub25007_.jpg,training
2717,session407,iaa_pub28466_.jpg,3.22,3.332,session407_iaa_pub28466_.jpg,training
4534,session161,iaa_pub11233_.jpg,3.293103448275862,3.527586206896552,session161_iaa_pub11233_.jpg,training
5781,session425,iaa_pub29708_.jpg,3.26,3.448,session425_iaa_pub29708_.jpg,training
7010,session136,iaa_pub9453_.jpg,2.72,2.8360000000000003,session136_iaa_pub9453_.jpg,training
18454,session14,iaa_pub926_.jpg,3.14,3.352,session14_iaa_pub926_.jpg,validation
29228,session358,iaa_pub25045_.jpg,3.730769230769231,3.876923076923077,session358_iaa_pub25045_.jpg,training
3638,session1,iaa_pub44_.jpg,3.520833333333333,3.6875,session1_iaa_pub44_.jpg,training
15056,session313,iaa_pub21854_.jpg,4.06,4.156000000000001,session313_iaa_pub21854_.jpg,training
23179,session262,iaa_pub18307_.jpg,3.12,3.324,session262_iaa_pub18307_.jpg,training
30545,session77,iaa_pub5376_.jpg,3.68,3.908,session77_iaa_pub5376_.jpg,training
