,dataset,Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness,scaled_MOS_quality,set
7975,spaq,07976.jpg,66.67,72.5,70.17,71.33,65.17,63.67,3.751914893617021,validation
7514,spaq,07515.jpg,28.0,50.75,47.25,43.88,50.63,25.88,2.106382978723404,training
10663,spaq,10664.jpg,31.0,51.71,38.14,44.14,33.86,13.17,2.234042553191489,test
10557,spaq,10558.jpg,73.17,69.33,76.5,71.33,67.0,75.67,4.028510638297872,training
1971,spaq,01972.jpg,63.4,55.7,69.5,67.8,57.09,69.4,3.612765957446808,training
2978,spaq,02979.jpg,30.89,38.1,57.22,50.11,49.1,16.6,2.2293617021276595,test
8531,spaq,08532.jpg,80.2,79.2,82.9,78.3,81.8,79.5,4.327659574468085,training
9364,spaq,09365.jpg,25.0,43.78,26.22,16.44,32.44,13.44,1.978723404255319,training
306,spaq,00307.jpg,22.33,19.36,28.83,34.17,35.42,20.75,1.8651063829787233,training
6699,spaq,06700.jpg,53.17,55.0,47.67,50.67,57.33,52.83,3.177446808510638,test
3025,spaq,03026.jpg,23.83,30.71,40.14,31.0,27.0,44.71,1.9289361702127659,training
2521,spaq,02522.jpg,56.0,56.18,57.45,60.45,57.3,52.09,3.2978723404255317,validation
8962,spaq,08963.jpg,81.63,80.75,79.5,78.63,76.13,82.25,4.3885106382978725,training
902,spaq,00903.jpg,24.17,55.33,53.31,39.92,31.08,19.15,1.943404255319149,training
8567,spaq,08568.jpg,65.5,61.25,65.0,68.25,69.0,67.25,3.702127659574468,test
3440,spaq,03441.jpg,48.38,62.23,63.0,59.75,49.25,44.08,2.9736170212765956,training
3001,spaq,03002.jpg,79.22,73.4,85.33,83.78,73.7,83.22,4.285957446808511,training
9361,spaq,09362.jpg,45.71,59.0,50.43,47.71,42.43,30.86,2.86,training
3127,spaq,03128.jpg,42.38,70.25,67.0,66.25,63.38,42.88,2.7182978723404254,training
4959,spaq,04960.jpg,39.63,53.63,56.38,56.25,40.88,30.5,2.601276595744681,training
9322,spaq,09323.jpg,69.13,70.75,75.38,65.13,59.13,66.25,3.8565957446808508,test
8557,spaq,08558.jpg,69.5,65.0,70.5,64.75,74.75,65.25,3.8723404255319145,validation
5003,spaq,05004.jpg,72.75,57.5,76.75,71.75,75.57,80.63,4.01063829787234,training
2792,spaq,02793.jpg,78.23,67.62,75.6,69.5,75.38,73.14,4.243829787234043,training
5981,spaq,05982.jpg,70.67,74.0,74.0,72.0,61.0,65.33,3.922127659574468,training
4323,spaq,04324.jpg,76.09,72.36,79.2,73.73,75.4,83.1,4.1527659574468085,training
5087,spaq,05088.jpg,31.83,42.3,55.91,51.91,40.75,14.64,2.2693617021276595,validation
2627,spaq,02628.jpg,48.7,45.5,56.5,44.67,46.3,40.9,2.9872340425531916,validation
5116,spaq,05117.jpg,40.2,45.2,55.2,44.2,55.5,40.6,2.625531914893617,training
1488,spaq,01489.jpg,30.5,39.1,49.6,38.8,52.5,20.67,2.2127659574468086,test
1243,spaq,01244.jpg,46.86,65.86,61.71,68.14,43.14,50.86,2.908936170212766,training
1801,spaq,01802.jpg,55.33,60.46,65.42,62.15,54.0,48.08,3.2693617021276595,test
737,spaq,00738.jpg,65.27,45.69,63.07,63.14,63.13,64.47,3.6923404255319143,test
8082,spaq,08083.jpg,75.71,69.0,81.17,72.0,73.86,75.86,4.136595744680851,training
8763,spaq,08764.jpg,22.0,20.5,35.83,23.33,24.83,18.17,1.851063829787234,training
1643,spaq,01644.jpg,15.2,20.22,41.89,23.22,27.22,11.2,1.5617021276595744,training
10291,spaq,10292.jpg,34.88,50.5,56.88,52.25,36.0,25.75,2.3991489361702127,training
4328,spaq,04329.jpg,50.36,54.36,53.2,58.0,50.3,51.1,3.057872340425532,validation
7077,spaq,07078.jpg,81.67,84.33,80.0,80.67,81.83,82.83,4.390212765957447,training
6335,spaq,06336.jpg,44.67,43.33,55.0,42.67,34.83,48.83,2.815744680851064,test
10316,spaq,10317.jpg,57.86,61.14,68.14,59.0,48.43,57.29,3.3770212765957446,test
4507,spaq,04508.jpg,70.13,67.38,73.43,69.25,65.88,65.5,3.8991489361702123,training
9125,spaq,09126.jpg,82.8,79.4,80.2,78.2,81.8,82.6,4.438297872340425,training
8819,spaq,08820.jpg,14.0,11.67,23.33,13.33,16.67,12.0,1.5106382978723403,training
3889,spaq,03890.jpg,81.36,78.57,81.71,83.43,78.0,83.14,4.377021276595745,training
6806,spaq,06807.jpg,61.5,72.5,84.5,69.0,65.5,53.0,3.5319148936170213,validation
3,spaq,00004.jpg,67.0,68.43,69.43,67.0,67.86,63.29,3.7659574468085104,training
2246,spaq,02247.jpg,21.4,46.9,47.8,52.89,23.5,9.44,1.8255319148936169,training
2571,spaq,02572.jpg,29.2,45.7,57.3,46.44,53.78,14.56,2.157446808510638,training
7025,spaq,07026.jpg,65.71,74.83,71.57,78.33,72.71,73.17,3.7110638297872334,training
5600,spaq,05601.jpg,69.11,65.67,68.38,61.7,68.33,69.2,3.8557446808510636,training
5812,spaq,05813.jpg,70.5,68.83,61.83,69.33,54.33,65.17,3.9148936170212765,test
5154,spaq,05155.jpg,44.7,39.8,49.0,39.8,56.0,51.4,2.8170212765957445,test
1381,spaq,01382.jpg,63.36,66.64,73.91,68.09,63.5,58.91,3.6110638297872337,validation
